title,status,type,tenure,land_title,price,built_up_size,bedroom,bathroom,car_park,category,city,state
Youth City,Completed Project,Serviced Residence,Freehold,Commercial,794473.0,1008,3,2,1,House,Nilai,Negeri Sembilan
Youth City,Completed Project,Serviced Residence,Freehold,Commercial,537087.0,754,2,1,0,House,Nilai,Negeri Sembilan
Youth City,Completed Project,Serviced Residence,Freehold,Commercial,379115.0,460,1,1,1,House,Nilai,Negeri Sembilan
Datum Jelatek,Completed Project,Serviced Residence,Leasehold,Commercial,500000.0,557,1,1,2,House,Ampang Hilir,Kuala Lumpur
Datum Jelatek,Completed Project,Serviced Residence,Leasehold,Commercial,650000.0,750,1,1,0,House,Ampang Hilir,Kuala Lumpur
Datum Jelatek,Completed Project,Serviced Residence,Leasehold,Commercial,980000.0,1271,2,2,0,House,Ampang Hilir,Kuala Lumpur
Southern Marina Residences,Completed Project,Serviced Residence,Freehold,Residential,676720.0,769,1,1,0,House,Iskandar Puteri (Nusajaya),Johor
Southern Marina Residences,Completed Project,Serviced Residence,Freehold,Residential,739200.0,840,1,1,0,House,Iskandar Puteri (Nusajaya),Johor
Southern Marina Residences,Completed Project,Serviced Residence,Freehold,Residential,1149280.0,1306,2,2,0,House,Iskandar Puteri (Nusajaya),Johor
The Ashwood,Open for Registration,Condominium,Freehold,Residential,1638700.0,1381,3,2,0,House,Ampang Hilir,Kuala Lumpur
The Ashwood,Open for Registration,Condominium,Freehold,Residential,1778600.0,1495,3,3,0,House,Ampang Hilir,Kuala Lumpur
The Ashwood,Open for Registration,Condominium,Freehold,Residential,1866100.0,1510,3,3,0,House,Ampang Hilir,Kuala Lumpur
"Danau, Puchong",New Launch,Serviced Residence,Leasehold,Commercial,339580.0,566,1,1,1,House,Puchong,Selangor
"Danau, Puchong",New Launch,Serviced Residence,Leasehold,Commercial,456730.0,855,2,2,2,House,Puchong,Selangor
"Danau, Puchong",New Launch,Serviced Residence,Leasehold,Commercial,522070.0,999,3,2,2,House,Puchong,Selangor
Serai Avenue 2 & 3 Storey Shop Office,Open for Registration,Shop Office,Leasehold,Commercial,1368000.0,2656,0,4,0,Shop or Office,Rawang,Selangor
Serai Avenue 2 & 3 Storey Shop Office,Open for Registration,Shop Office,Leasehold,Commercial,2195000.0,4050,0,6,0,Shop or Office,Rawang,Selangor
